algorithm,epsilon,delta,gap,mu_0,mu_1,horizon,n_runs,p_optimal,p_lock_in,p_ambiguous
epsilon_greedy,0.1,0.18,0.1,0.6,0.5,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.2,0.1,0.6,0.5,5000,100,0.0,0.43,0.57
epsilon_greedy,0.1,0.0,0.12,0.6,0.48,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.12,0.6,0.48,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.12,0.6,0.48,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.12,0.6,0.48,5000,100,0.75,0.02,0.23
epsilon_greedy,0.1,0.06,0.12,0.6,0.48,5000,100,0.07,0.36,0.57
epsilon_greedy,0.1,0.08,0.12,0.6,0.48,5000,100,0.0,0.34,0.66
epsilon_greedy,0.1,0.1,0.12,0.6,0.48,5000,100,0.0,0.33,0.67
epsilon_greedy,0.1,0.12,0.12,0.6,0.48,5000,100,0.0,0.33,0.67
epsilon_greedy,0.1,0.14,0.12,0.6,0.48,5000,100,0.0,0.38,0.62
epsilon_greedy,0.1,0.16,0.12,0.6,0.48,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.18,0.12,0.6,0.48,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.2,0.12,0.6,0.48,5000,100,0.0,0.41,0.59
epsilon_greedy,0.1,0.0,0.14,0.6,0.45999999999999996,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.14,0.6,0.45999999999999996,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.14,0.6,0.45999999999999996,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.14,0.6,0.45999999999999996,5000,100,0.76,0.0,0.24
epsilon_greedy,0.1,0.06,0.14,0.6,0.45999999999999996,5000,100,0.07,0.34,0.59
epsilon_greedy,0.1,0.08,0.14,0.6,0.45999999999999996,5000,100,0.0,0.32,0.68
epsilon_greedy,0.1,0.1,0.14,0.6,0.45999999999999996,5000,100,0.0,0.32,0.68
epsilon_greedy,0.1,0.12,0.14,0.6,0.45999999999999996,5000,100,0.0,0.32,0.68
epsilon_greedy,0.1,0.14,0.14,0.6,0.45999999999999996,5000,100,0.0,0.36,0.64
epsilon_greedy,0.1,0.16,0.14,0.6,0.45999999999999996,5000,100,0.0,0.37,0.63
epsilon_greedy,0.1,0.18,0.14,0.6,0.45999999999999996,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.2,0.14,0.6,0.45999999999999996,5000,100,0.0,0.44,0.56
epsilon_greedy,0.1,0.0,0.16,0.6,0.43999999999999995,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.16,0.6,0.43999999999999995,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.16,0.6,0.43999999999999995,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.16,0.6,0.43999999999999995,5000,100,0.76,0.0,0.24
epsilon_greedy,0.1,0.06,0.16,0.6,0.43999999999999995,5000,100,0.07,0.32,0.61
epsilon_greedy,0.1,0.08,0.16,0.6,0.43999999999999995,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.1,0.16,0.6,0.43999999999999995,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.12,0.16,0.6,0.43999999999999995,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.14,0.16,0.6,0.43999999999999995,5000,100,0.0,0.35,0.65
epsilon_greedy,0.1,0.16,0.16,0.6,0.43999999999999995,5000,100,0.0,0.35,0.65
epsilon_greedy,0.1,0.18,0.16,0.6,0.43999999999999995,5000,100,0.0,0.36,0.64
epsilon_greedy,0.1,0.2,0.16,0.6,0.43999999999999995,5000,100,0.0,0.42,0.58
epsilon_greedy,0.1,0.0,0.18,0.6,0.42,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.18,0.6,0.42,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.18,0.6,0.42,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.18,0.6,0.42,5000,100,0.76,0.0,0.24
epsilon_greedy,0.1,0.06,0.18,0.6,0.42,5000,100,0.09,0.28,0.63
epsilon_greedy,0.1,0.08,0.18,0.6,0.42,5000,100,0.0,0.26,0.74
epsilon_greedy,0.1,0.1,0.18,0.6,0.42,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.12,0.18,0.6,0.42,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.14,0.18,0.6,0.42,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.16,0.18,0.6,0.42,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.18,0.18,0.6,0.42,5000,100,0.0,0.31,0.69
epsilon_greedy,0.1,0.2,0.18,0.6,0.42,5000,100,0.0,0.34,0.66
epsilon_greedy,0.1,0.0,0.2,0.6,0.39999999999999997,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.2,0.6,0.39999999999999997,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.2,0.6,0.39999999999999997,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.2,0.6,0.39999999999999997,5000,100,0.76,0.0,0.24
epsilon_greedy,0.1,0.06,0.2,0.6,0.39999999999999997,5000,100,0.09,0.27,0.64
epsilon_greedy,0.1,0.08,0.2,0.6,0.39999999999999997,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.1,0.2,0.6,0.39999999999999997,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.12,0.2,0.6,0.39999999999999997,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.14,0.2,0.6,0.39999999999999997,5000,100,0.0,0.28,0.72
epsilon_greedy,0.1,0.16,0.2,0.6,0.39999999999999997,5000,100,0.0,0.28,0.72
epsilon_greedy,0.1,0.18,0.2,0.6,0.39999999999999997,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.2,0.2,0.6,0.39999999999999997,5000,100,0.0,0.33,0.67
