algorithm,cells,mean_p_optimal,mean_p_lock_in,mean_p_ambiguous,share_optimal_ge_0_9,share_lockin_ge_0_5,share_ambiguous_ge_0_5,max_p_lock_in
epsilon_greedy,120,0.30391666666666667,0.29366666666666663,0.40241666666666664,0.225,0.16666666666666666,0.5,0.73
thompson_sampling,120,0.4813333333333334,0.07658333333333335,0.4420833333333334,0.38333333333333336,0.0,0.49166666666666664,0.44
ucb1,120,0.37100000000000005,8.333333333333333e-05,0.6289166666666667,0.23333333333333334,0.0,0.65,0.01
